,Mixture A,Distance,CID.0,CID.1,CID.2,CID.3,CID.4,CID.5,CID.6,CID.7,CID.8,CID.9,CID.10
0,153931,0.316,440967,8129,180,5281515,22873,7460,22386,6544,8130,1031.0,3314.0
1,153931,0.400,7460,7793,7921,8130,62433,8051,12178,6054,8129,,
2,153931,0.500,8051,12741,22873,12178,8797,24915,4133,6054,7731,7921.0,5634.0
3,153931,0.599,11002,4133,62433,7654,31265,1031,62336,5283349,5634,,
4,153931,0.700,6590,31252,4133,8892,14286,12020,62433,12180,9609,7793.0,7921.0
5,153931,0.800,61138,6501,9609,7410,7344,62336,6590,8797,11002,7714.0,31252.0
6,153931,0.806,61138,6501,9609,7410,7344,62336,6590,8797,11002,7714.0,10722.0
7,119919,0.322,8130,61138,454,7762,15380,61016,7344,4133,12741,6561.0,
8,119919,0.400,454,5634,8091,22386,31252,22873,7344,11509,6590,1140.0,
9,119919,0.500,8051,12178,8025,7749,12180,7770,10890,22386,31252,,
10,119919,0.599,443158,26331,14286,62336,31272,6569,180,7888,8858,31252.0,
11,119919,0.700,62465,6501,7654,22386,1031,10722,180,12741,7888,26331.0,
12,119919,0.790,4133,7966,6544,62465,7654,62433,1140,7344,6654,,
13,105995,0.324,22873,8129,8051,7460,7762,62336,12178,12741,8858,,
14,105995,0.400,957,8091,22386,7770,12178,12020,10821,31276,31265,5634.0,
15,105995,0.500,440967,7460,326,6654,6501,7654,9609,7344,7991,,
16,105995,0.599,6569,7991,15380,19310,9609,8858,7654,7710,5281515,,
17,105995,0.700,62465,7921,12232,61138,26331,7344,7966,7888,62336,,
18,105995,0.794,10722,14286,8797,7344,1140,5634,1031,11002,7165,,
19,159593,0.304,6590,11509,8892,7921,7762,12367,6569,62444,650,7799.0,
20,159593,0.400,7762,12020,31276,22201,6184,8025,7966,18827,8148,,
21,159593,0.500,18827,31252,12741,8030,5283349,6501,26331,10976,8118,15380.0,
22,159593,0.602,454,8858,8129,14286,12367,8186,7966,11002,957,,
23,159593,0.698,7888,8635,61016,8030,7921,957,7793,14286,7966,,
24,159593,0.800,6054,7460,6544,31244,440967,443158,8635,6184,4133,6561.0,18827.0
25,159593,0.823,6054,7460,7731,62336,4133,5281515,10821,24915,8858,957.0,
26,81957,0.313,10882,8858,8091,31272,31252,440967,22873,6569,10890,,
27,81957,0.400,7749,18827,8051,8858,31252,8103,8892,261,7921,,
28,81957,0.501,6561,9609,12232,7966,7714,24915,8129,6501,19310,,
29,81957,0.600,2758,12741,93009,12367,8130,957,5283349,7921,454,7966.0,
30,81957,0.700,6054,8858,62336,7921,12367,61138,443158,7888,15380,7654.0,
31,81957,0.795,8797,6054,3314,5634,10821,7344,12367,4133,9609,7793.0,7410.0
32,75831,0.343,957,7888,7714,18827,61016,62444,8797,8129,5634,,
33,75831,0.400,454,18827,10976,7654,8129,9609,7921,62336,8892,440967.0,
34,75831,0.499,8103,8118,11002,31265,440967,5281515,5281168,6184,62433,,
35,75831,0.600,12020,6654,22386,19310,12178,8635,10890,2758,6501,31276.0,440967.0
36,75831,0.700,180,326,6544,7991,7344,6561,261,7749,62336,7966.0,7654.0
37,75831,0.791,180,4133,31252,8025,6544,3314,7762,326,7344,8797.0,261.0
38,77037,0.316,10890,8130,62433,440967,7749,6184,24915,31265,454,10882.0,
39,77037,0.400,7749,8103,957,62444,7150,8025,7654,7991,11552,7714.0,
40,77037,0.500,6501,7344,7714,6569,7991,8892,8635,11002,6544,1068.0,62444.0
41,77037,0.600,19310,5281515,8635,6544,11002,8118,9609,1031,6054,7460.0,
42,77037,0.700,22201,26331,6544,7165,7150,8118,440967,15380,8635,,
43,77037,0.800,14286,62465,7731,9609,7410,7793,31252,7921,15380,8635.0,12367.0
44,77037,0.808,14286,62465,7731,9609,7410,12367,7966,3314,11002,7344.0,7150.0
45,36077,0.318,22873,7762,62336,10890,10976,62444,24915,1140,8091,,
46,36077,0.400,7749,12178,62444,7150,7714,12020,6654,18827,12367,,
47,36077,0.500,10430,8635,7710,15380,1031,7714,7150,93009,7344,12741.0,
48,36077,0.600,61138,240,5634,7150,93009,19310,6569,15380,180,7991.0,8635.0
49,36077,0.700,8858,6654,5281515,31244,19310,2758,1140,240,12741,7710.0,
50,36077,0.800,62465,14286,5281515,7966,61138,7921,957,10821,4133,,
51,36077,0.809,62465,14286,5281515,7966,61138,4133,454,7921,6561,,
52,43223,0.316,93009,10976,7762,7460,8129,7749,2758,8091,326,,
53,43223,0.400,2758,11552,8186,7799,31276,7165,8130,62465,12178,,
54,43223,0.499,6054,18827,62336,7654,8858,11552,5634,4133,180,,
55,43223,0.600,7714,6561,1031,6501,7150,11552,8635,5634,4133,18827.0,
56,43223,0.700,31252,22201,5634,12020,26331,1031,15380,9609,6054,62444.0,
57,43223,0.800,61138,10722,31252,7714,8797,9609,7165,7344,14286,7793.0,
58,43223,0.803,61138,10722,31252,7714,8797,9609,7654,7344,14286,,
59,82803,0.329,1031,10722,261,8797,11509,1140,12178,4133,6590,,
60,82803,0.400,1031,14286,10882,10821,7519,12020,10430,8858,7762,,
61,82803,0.500,26331,14286,7921,1068,9609,12020,6501,62433,10890,,
62,82803,0.599,6501,31265,8103,7654,10821,12232,8892,6184,7921,,
63,82803,0.700,7888,11002,3314,8892,6184,326,8051,10890,7921,7710.0,18827.0
64,82803,0.800,7793,5283349,7460,8091,7921,62336,5634,6544,18827,3314.0,11002.0
65,82803,0.803,7793,5283349,7460,8091,7921,62336,5634,6544,18827,24915.0,3314.0
